Neurite,ArborType,BrainRegion,Species,Archive,SeqLen,Region2,Region3,Class1,Class2,Class3,Gender,Protocol,AgeClass,Strain,ExperCond,Order,Layer,CorticalRegion,CorticalLobe
38-8-10-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,31,Prefrontal,Brodmann area 11,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
38-8-2-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,27,Prefrontal,Brodmann area 11,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
38-8-3-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,31,Prefrontal,Brodmann area 11,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
38-8-4-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,22,Prefrontal,Brodmann area 11,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
38-8-5-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,34,Prefrontal,Brodmann area 11,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
38-8-6-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,36,Prefrontal,Brodmann area 11,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
38-8-7-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,37,Prefrontal,Brodmann area 11,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
38-8-8-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,35,Prefrontal,Brodmann area 11,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
38-8-9-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,52,Prefrontal,Brodmann area 11,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
38-9-1-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,20,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
38-9-10-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,34,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
38-9-2-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,26,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
38-9-3-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,18,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
38-9-4-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,25,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
38-9-5-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,25,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
38-9-6-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,34,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
38-9-7-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,29,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
38-9-8-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,41,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
38-9-9-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,24,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
39-1-1-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,29,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
39-1-10-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,36,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
39-1-2-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,24,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
39-1-3-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,24,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
39-1-4-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,26,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
39-1-5-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,29,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
39-1-6-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,30,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
39-1-7-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,27,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
39-1-8-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,30,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
39-1-9-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,16,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
39-2-1-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,28,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
39-2-10-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,25,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
39-2-2-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,32,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
39-2-3-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,34,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
39-2-4-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,38,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
39-2-5-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,22,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
39-2-6-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,26,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
39-2-7-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,19,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
39-2-8-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,31,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
39-2-9-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,21,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
45-1-1-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,49,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
45-1-10-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,38,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
45-1-2-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,30,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
45-1-3-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,31,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
45-1-4-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,18,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
45-1-5-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,29,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
45-1-6-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,54,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
45-1-7-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,39,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
45-1-8-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,43,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
45-1-9-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,26,Occipital lobe,Brodmann area 18,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Visual,Occipital
45-2-1-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,33,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
45-2-10-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,30,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
45-2-2-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,41,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
45-2-3-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,47,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
45-2-4-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,49,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
45-2-5-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,35,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
45-2-6-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,32,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
45-2-7-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,38,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
45-2-8-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,37,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
45-2-9-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,64,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,F,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
46-1-1-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,42,Precentral gyri,Brodmann area 4,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-1-10-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,28,Precentral gyri,Brodmann area 4,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-1-2-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,27,Precentral gyri,Brodmann area 4,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-1-3-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,17,Precentral gyri,Brodmann area 4,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-1-4-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,42,Precentral gyri,Brodmann area 4,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-1-5-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,40,Precentral gyri,Brodmann area 4,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-1-6-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,12,Precentral gyri,Brodmann area 4,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-1-7-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,32,Precentral gyri,Brodmann area 4,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-1-8-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,21,Precentral gyri,Brodmann area 4,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-1-9-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,23,Precentral gyri,Brodmann area 4,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-2-1-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,45,Postcentral gyri,"Brodmann area 3,1,2",Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Somatosensory,Parietal
46-2-10-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,35,Postcentral gyri,"Brodmann area 3,1,2",Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Somatosensory,Parietal
46-2-2-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,36,Postcentral gyri,"Brodmann area 3,1,2",Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Somatosensory,Parietal
46-2-3-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,44,Postcentral gyri,"Brodmann area 3,1,2",Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Somatosensory,Parietal
46-2-4-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,41,Postcentral gyri,"Brodmann area 3,1,2",Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Somatosensory,Parietal
46-2-5-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,19,Postcentral gyri,"Brodmann area 3,1,2",Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Somatosensory,Parietal
46-2-6-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,30,Postcentral gyri,"Brodmann area 3,1,2",Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Somatosensory,Parietal
46-2-7-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,24,Postcentral gyri,"Brodmann area 3,1,2",Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Somatosensory,Parietal
46-2-8-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,33,Postcentral gyri,"Brodmann area 3,1,2",Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Somatosensory,Parietal
46-3-1-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,26,Frontal lobe,Brodmann area 6,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-3-10-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,31,Frontal lobe,Brodmann area 6,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-3-2-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,21,Frontal lobe,Brodmann area 6,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-3-4-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,19,Frontal lobe,Brodmann area 6,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-3-5-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,16,Frontal lobe,Brodmann area 6,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-3-6-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,22,Frontal lobe,Brodmann area 6,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-3-7-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,40,Frontal lobe,Brodmann area 6,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-3-8-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,9,Frontal lobe,Brodmann area 6,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-3-9-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,41,Frontal lobe,Brodmann area 6,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-4-1-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,13,Temporal lobe,Brodmann area 22,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Not reported,Temporal
46-4-10-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,28,Temporal lobe,Brodmann area 22,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Not reported,Temporal
46-4-2-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,43,Temporal lobe,Brodmann area 22,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Not reported,Temporal
46-4-3-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,21,Temporal lobe,Brodmann area 22,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Not reported,Temporal
46-4-4-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,25,Temporal lobe,Brodmann area 22,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Not reported,Temporal
46-4-5-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,32,Temporal lobe,Brodmann area 22,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Not reported,Temporal
46-4-6-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,15,Temporal lobe,Brodmann area 22,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Not reported,Temporal
46-4-7-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,34,Temporal lobe,Brodmann area 22,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Not reported,Temporal
46-4-8-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,16,Temporal lobe,Brodmann area 22,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Not reported,Temporal
46-4-9-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,22,Temporal lobe,Brodmann area 22,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Not reported,Temporal
46-5-1-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,36,Frontal lobe,Brodmann area 44,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-5-10-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,44,Frontal lobe,Brodmann area 44,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-5-2-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,25,Frontal lobe,Brodmann area 44,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-5-3-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,36,Frontal lobe,Brodmann area 44,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-5-4-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,21,Frontal lobe,Brodmann area 44,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-5-5-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,21,Frontal lobe,Brodmann area 44,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-5-6-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,24,Frontal lobe,Brodmann area 44,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-5-7-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,24,Frontal lobe,Brodmann area 44,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-5-8-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,25,Frontal lobe,Brodmann area 44,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-5-9-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,35,Frontal lobe,Brodmann area 44,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Motor,Frontal
46-6-1-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,30,Parietal lobe,Brodmann area 39,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Not reported,Parietal
46-6-10-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,20,Parietal lobe,Brodmann area 39,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Not reported,Parietal
46-6-2-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,36,Parietal lobe,Brodmann area 39,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Not reported,Parietal
46-6-4-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,30,Parietal lobe,Brodmann area 39,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Not reported,Parietal
46-6-5-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,46,Parietal lobe,Brodmann area 39,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Not reported,Parietal
46-6-6-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,19,Parietal lobe,Brodmann area 39,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Not reported,Parietal
46-6-8-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,33,Parietal lobe,Brodmann area 39,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Not reported,Parietal
46-6-9-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,36,Parietal lobe,Brodmann area 39,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Not reported,Parietal
46-7-1-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,43,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
46-7-10-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,50,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
46-7-2-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,39,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
46-7-3-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,35,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
46-7-4-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,21,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
46-7-5-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,38,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
46-7-6-BasalDendrite,Dendrite,Neocortex,Human,Jacobs,31,Prefrontal,Brodmann area 10,Principal cell,Pyramidal cell,Not reported,M,In vitro,Not reported,Not reported,Control,Primate,Not reported,Prefrontal,Frontal
