Neurite,ArborType,BrainRegion,Species,Archive,SeqLen,Region2,Region3,Class1,Class2,Class3,Gender,Protocol,AgeClass,Strain,ExperCond,Order,Layer,CorticalRegion,CorticalLobe
27o_spindle19aFI-BasalDendrite,Dendrite,Neocortex,Human,Allman,10,Fronto-insula,Not reported,Principal cell,von Economo neuron,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Insula,Insula
31o_pyramidal19aFI-BasalDendrite,Dendrite,Neocortex,Human,Allman,22,Fronto-insula,Not reported,Principal cell,Pyramidal cell,Not reported,M,In vitro,Adult,Not reported,Control,Primate,Layer 5,Insula,Insula
c10261-Axon,Axon,Hippocampus,Rat,Amaral,33,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c10261-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,29,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c10261-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,54,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c10861-Axon,Axon,Hippocampus,Rat,Amaral,21,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c10861-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,57,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c10861-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,38,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c11471-Axon,Axon,Hippocampus,Rat,Amaral,18,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c11471-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,37,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c11471-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,19,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c11563-Axon,Axon,Hippocampus,Rat,Amaral,29,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c11563-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,32,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c11563-ApicalDendrite,ApicalDendrite,Hippocampus,Rat,Amaral,54,CA1,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
c11571-BasalDendrite,Dendrite,Hippocampus,Rat,Amaral,41,CA3,Not reported,Principal cell,Pyramidal cell,Not reported,F,In vitro,Adult,Sprague-Dawley Rat,Control,Rodent,Not reported,Not reported,Not reported
